video_id;playlist_name;video_name;publication_date;views;likes;dislikes;favorites;comments;duration_seconds
cm_syjUxRTM;Сломанные Игры;СЛОМАННЫЕ ИГРЫ Ep.2: Bly vs SKillous - Карты с лавой, кислотой и длинным узким мостом в StarCraft II;2021-02-28T14:00:07Z;97115;5041;85;0;442;3274
o1h7Qf_VguE;Сломанные Игры;СЛОМАННЫЕ ИГРЫ Ep.1: Awers vs GeNieS - Карта из минералов, острова и золотые базы в StarCraft II;2021-02-10T14:00:15Z;160072;8777;177;0;713;3057
H00BLch4O9A;GSL 2021 - Матчи корейских Global StarCraft II League 2021 года;КОРЕЯ: НОВЫЙ СЕЗОН - Матч-открытие GSL Super Tournament 2021 | Trap - Dark | Корейский StarCraft II;2021-01-27T14:00:13Z;100057;4118;81;0;320;4585
yZVgetAzqDM;GSL 2021 - Матчи корейских Global StarCraft II League 2021 года;[2021 GSL Super Tournament 1] Ro.16 | INnoVation (T) vs. Solar (Z);2021-01-27T18:00:15Z;15430;526;7;0;56;4503
mQ6U8Utg2gc;GSL 2021 - Матчи корейских Global StarCraft II League 2021 года;[2021 GSL Super Tournament 1] Ro.16 | sOs (P) vs. ByuN (T);2021-01-27T18:30:05Z;9873;421;9;0;40;3264
7gpdP8yLXQM;GSL 2021 - Матчи корейских Global StarCraft II League 2021 года;[2021 GSL Super Tournament 1] Ro.16 | DRG (Z) vs. Dream (T);2021-01-27T19:00:01Z;5983;279;2;0;22;2188
selWzMQGxB0;GSL 2021 - Матчи корейских Global StarCraft II League 2021 года;[2021 GSL Super Tournament 1] Ro.16 | Zoun (P) vs. Armani (Z);2021-01-28T15:00:31Z;4326;216;2;0;8;2647
n1OzoSWUylw;GSL 2021 - Матчи корейских Global StarCraft II League 2021 года;[2021 GSL Super Tournament 1] Ro.16 | Cure (T) vs. PartinG (P);2021-01-28T15:15:01Z;5103;260;4;0;32;2356
te9QnhR4GGo;GSL 2021 - Матчи корейских Global StarCraft II League 2021 года;[2021 GSL Super Tournament 1] Ro.16 | Stats (P) vs. Bunny (T);2021-01-28T15:30:04Z;6288;280;5;0;19;2998
R0qG5dqIqv0;GSL 2021 - Матчи корейских Global StarCraft II League 2021 года;[2021 GSL Super Tournament 1] Ro.16 | Zest (P) vs. SpeCial (T);2021-01-28T15:45:00Z;6521;258;5;0;22;2440
pQWxTJv2OKM;GSL 2021 - Матчи корейских Global StarCraft II League 2021 года;[2021 GSL Super Tournament 1] Ro.8 | Trap (P) vs. INnoVation (T);2021-01-29T16:15:01Z;9746;329;5;0;38;3553
9Y1i_vEkShs;GSL 2021 - Матчи корейских Global StarCraft II League 2021 года;[2021 GSL Super Tournament 1] Ro.8 | sOs (P) vs. Dream (T);2021-01-29T16:30:00Z;6356;247;2;0;21;3511
SYoxBY0vwQo;GSL 2021 - Матчи корейских Global StarCraft II League 2021 года;[2021 GSL Super Tournament 1] Ro.8 | Zoun (P) vs. PartinG (P);2021-01-29T16:45:01Z;3921;163;3;0;10;3295
89-gCD6ixi0;GSL 2021 - Матчи корейских Global StarCraft II League 2021 года;[2021 GSL Super Tournament 1] Ro.8 | Bunny (T) vs. Zest (P);2021-01-29T17:00:10Z;4974;203;5;0;9;2002
mmyXmoEoPWQ;GSL 2021 - Матчи корейских Global StarCraft II League 2021 года;[2021 GSL Super Tournament 1] Ro.4 | Trap (P) vs. Dream (T);2021-01-30T15:15:01Z;6351;244;5;0;12;2875
MAW9uR3ArdI;GSL 2021 - Матчи корейских Global StarCraft II League 2021 года;[2021 GSL Super Tournament 1] Ro.4 | Zoun (P) vs. Zest (P);2021-01-30T15:30:01Z;3279;180;2;0;23;1058
k0pZrKgyP4k;GSL 2021 - Матчи корейских Global StarCraft II League 2021 года;[2021 GSL Super Tournament 1] Финал;2021-01-30T15:45:00Z;15779;526;10;0;86;4170
BPm5D5o9v9I;Лучшие игры любителей в StarCraft 2;ИЗОБРЕТАТЕЛЬ SC2 №1: Креативный протосс Florencio и его билды, которыми побеждают на Чемпионате мира;2021-03-12T14:00:03Z;126219;6786;129;0;541;3461
